CPD_NAME,BROAD_ID
2-[1-(4-PIPERONYL)PIPERAZINYL]BENZOTHIAZOLE,BRD-K91868854
cianidanol,BRD-A61899133
cladribine,BRD-A89947015
nefazodone,BRD-K90789829
droperidol,BRD-K97158071
naringenin,BRD-A94669766
Trequinsin,BRD-K84663978
L-cis-DILTIAZEM,BRD-K81029756
citropten,BRD-K78612426
SRC kinase inhibitor II,BRD-K97330509
acetyl farnesyl cysteine,BRD-K79437791
FK 888,BRD-K83508485
"orsellinic acid, ethyl ester",BRD-K97487499
lonidamine,BRD-K96670504
AMI-193,BRD-K94512704
"14-methoxy-4,4-bisnor-4,8,11,13-podocarpatetraen-3-one",BRD-K97194310
catechin pentabenzoate,BRD-K03600606
citalopram,BRD-A47598013
valdecoxib,BRD-K12994359
RS 79948,BRD-K86600316
R(+)-SKF-81297,BRD-K84421793
protopine,BRD-K83302049
methylephedrine,BRD-K82236108
SU-6656,BRD-K97354755
"ethyl 1-benzyl-4,5-dioxopyrrolidine-3-carboxylate",BRD-A96485169
BHQ,BRD-K95603879
pirfenidone,BRD-K96862998
carmoxirole,BRD-K82484965
periciazine,BRD-K89669299
kynurenic acid,BRD-K85872723
LY-344864,BRD-K95899059
5'-N-ethylcarboxamidoadenosine,BRD-A57536034
tegaserod,BRD-K88743730
pronetalol,BRD-A87715314
SYM 2206,BRD-A77218119
AC55649,BRD-K93176058
trifluoperazine,BRD-K89732114
pirenzepine,BRD-K89375097
"4,5,6,7-tetrabromobenzotriazole",BRD-K97118047
"LY-294002, 4'-NH2",BRD-K97365803
"ICI-185,282",BRD-A51929314
RK-682,BRD-A77349281
"duartin, dimethyl ether",BRD-K87798455
hydrastinine,BRD-K92726801
cyproterone acetate,BRD-A95207036
"12-hydroxy-4,4-bisnor-4,8,11,13-podocarpatetraen-3-one",BRD-K79231725
biotin,BRD-K89210380
salicylidene salicylhydrazide,BRD-K78496197
vesamicol,BRD-A76904477
ZM 449829,BRD-K95676198
mefenamic acid,BRD-K92778217
embelin,BRD-K86727142
velnacrine,BRD-A98299281
zomepirac,BRD-K81326768
metameconine,BRD-K94324294
olomoucine,BRD-K82731415
dehydrorotenone,BRD-A84913188
chlorzoxazone,BRD-K98174813
gliquidone,BRD-K80396088
propofol,BRD-K82255054
tinidazole,BRD-K89125793
fexofenadine,BRD-A73368467
3-acetamido-coumarin,BRD-K85104575
triacetylresveratrol,BRD-K80946661
DIBENZEPINE,BRD-K79145749
minocycline,BRD-A69651145
ouabain,BRD-A67552019
(?)-AC 7954 hydrochloride,BRD-A49544621
lupanine,BRD-A92826379
graveoline,BRD-K92683369
ethisterone,BRD-K03981224
totarol acetate,BRD-A94366206
metampicillin,BRD-K83350436
GW 583340,BRD-K79930101
minoxidil,BRD-K14888893
N-ethylmaleimide,BRD-K98297262
PD-198306,BRD-K88677950
"( R)-(+)-WIN 55,212-2 mesylate[(R)-(+)-[2,3-Dihydro-5-methyl-3[(morpholinyl)methyl]pyrrolo[1,2,3-de]-1,4-benzoxazinyl]-(]",BRD-K88282786
CCMQ,BRD-K06159959
"3,4-didesmethyl-5-deshydroxy-3'-ethoxyscleroin",BRD-K00313803
proxymetacaine,BRD-K79116891
MESULERGINE,BRD-K91336023
metacycline,BRD-A49035384
sulfadimidine,BRD-K11640013
zolantidine,BRD-K08996725
orthothymotinic acid,BRD-K95788524
L 755507,BRD-A93206962
tremorine,BRD-K08619838
"1,3-dideacetylkhivorin",BRD-A67787745
dicoumarol,BRD-K82236179
CGP 55845,BRD-A89672324
emodic acid,BRD-K94841585
2-phenylindole,BRD-K85555482
cycloheximide-N-ethylethanoate,BRD-A82329351
irigenin trimethyl ether,BRD-K85880973
lovastatin,BRD-K09416995
betamipron,BRD-K82142815
clofarabine,BRD-A82371568
glycodesoxycholic acid,BRD-A73859745
chrysanthemic acid,BRD-A52893269
GW-9662,BRD-K93258693
chlorphenamine,BRD-K89595132
leoidin,BRD-K96660256
17-phenyl-trinor-prostaglandin E2,BRD-K90214371
zacopride,BRD-A65615053
propafenone,BRD-A26334849
asiaticoside,BRD-A66199457
pindolol,BRD-A97701745
deferoxamine,BRD-K09821361
ciclacillin,BRD-K89046952
mifobate,BRD-A72066420
